,ID,duration,gamePeriod,health,number_alive,time,x,y
3840,61,802,3.5,100,19,20:55:46,2312.2571875,1425.0396875
3841,75,803,3.5,100,19,20:55:47,2546.6109375,716.301015625
3842,39,803,3.5,100,19,20:55:47,1960.61203125,1032.05484375
3843,89,803,3.5,100,19,20:55:47,1734.86796875,847.240546875
3844,90,804,3.5,60.79982376098633,19,20:55:48,1773.7803125,2039.4003125
3845,53,805,3.5,100,19,20:55:49,2134.96890625,1032.7440625
3846,93,806,3.5,100,19,20:55:50,2432.99078125,922.405078125
3847,55,807,3.5,100,19,20:55:51,1393.6296875,1418.60890625
3851,43,808,3.5,100,19,20:55:52,2565.92734375,743.388515625
3850,85,808,3.5,61.11500549316406,19,20:55:52,1742.7728125,1812.2175
3849,5,808,3.5,84,19,20:55:52,2093.56890625,1502.88640625
3848,2,808,3.5,58.310699462890625,19,20:55:52,2492.72421875,2622.801875
3852,20,809,3.5,100,19,20:55:53,1398.66265625,1170.368671875
3853,28,809,3.5,100,19,20:55:53,1978.85859375,1243.8121875
3854,30,809,3.5,62.16250228881836,19,20:55:53,1442.41203125,1490.04109375
3855,31,809,3.5,82.19998168945312,19,20:55:53,2460.78,1073.120390625
3856,71,809,3.5,90.79995727539062,19,20:55:53,1998.0975,1641.123125
3857,72,809,3.5,100,19,20:55:53,1555.5459375,1349.27453125
3858,36,809,3.5,100,19,20:55:53,2062.91875,1382.96359375
3859,73,810,3.5,0,19,20:55:54,1442.3059375,1489.69859375
3860,61,812,3.5,100,19,20:55:56,2314.213125,1422.518125
3863,89,813,3.5,100,19,20:55:57,1734.884375,847.124453125
3862,39,813,3.5,100,19,20:55:57,1960.61203125,1032.05484375
3861,75,813,3.5,100,19,20:55:57,2547.4453125,716.850078125
3864,90,814,3.5,53.79983139038086,19,20:55:58,1788.59859375,1997.23796875
4472,43,815,3.5,0,19,20:55:59,2546.25640625,716.313046875
3865,53,815,3.5,100,18,20:55:59,2134.85921875,1032.527890625
3866,93,816,3.5,100,18,20:56:00,2432.7296875,922.283359375
3867,55,817,3.5,100,18,20:56:01,1398.7546875,1388.7890625
3871,43,818,3.5,0,18,20:56:02,2546.25640625,716.313046875
3870,85,818,3.5,56.115013122558594,18,20:56:02,1711.4821875,1796.073125
3868,2,818,3.5,51.52488327026367,18,20:56:02,2472.0475,2563.09890625
3869,5,818,3.5,86,18,20:56:02,2056.81890625,1453.43078125
3872,20,819,3.5,100,18,20:56:03,1404.78375,1176.193046875
3873,28,819,3.5,100,18,20:56:03,1979.40796875,1242.53015625
3874,31,819,3.5,82.19998168945312,18,20:56:03,2434.95828125,1096.68875
3875,30,819,3.5,62.16250228881836,18,20:56:03,1442.95203125,1489.06765625
3876,71,819,3.5,96.79995727539062,18,20:56:03,2029.2753125,1592.77578125
3877,72,819,3.5,100,18,20:56:03,1601.6496875,1324.2090625
3878,36,819,3.5,100,18,20:56:03,2039.903125,1387.86890625
3879,73,820,3.5,0,18,20:56:04,1442.3059375,1489.69859375
3880,61,822,3.5,100,18,20:56:06,2336.09296875,1417.0015625
3883,89,823,3.5,100,18,20:56:07,1734.884375,847.124453125
3881,75,823,3.5,100,18,20:56:07,2547.73578125,715.985546875
3882,39,823,3.5,100,18,20:56:07,1960.61203125,1032.05484375
3884,90,824,3.5,47.79983901977539,18,20:56:08,1812.9678125,1943.009375
3885,53,825,3.5,100,18,20:56:09,2137.841875,1025.804765625
3886,93,826,3.5,100,18,20:56:10,2433.65515625,936.57546875
3887,55,827,3.5,100,18,20:56:11,1449.97375,1370.848125
3890,85,828,3.5,54.115020751953125,18,20:56:12,1690.94359375,1740.0275
3888,2,828,3.5,44.809112548828125,18,20:56:12,2479.71953125,2501.18078125
3889,5,828,3.5,90,18,20:56:12,2040.5209375,1396.28328125
3896,72,829,3.5,100,18,20:56:13,1623.91203125,1312.263125
3894,31,829,3.5,82.19998168945312,18,20:56:13,2436.613125,1098.3025
3895,71,829,3.5,98.79995727539062,18,20:56:13,2058.4871875,1544.04296875
3897,36,829,3.5,100,18,20:56:13,2037.4475,1383.286875
3891,20,829,3.5,100,18,20:56:13,1406.95015625,1181.6921875
3892,28,829,3.5,100,18,20:56:13,1979.3521875,1243.58296875
3893,30,829,3.5,62.16250228881836,18,20:56:13,1486.57609375,1466.25234375
3898,73,830,3.5,0,18,20:56:14,1442.3059375,1489.69859375
3899,61,832,3.5,100,18,20:56:16,2339.4325,1368.49640625
3902,89,833,3.5,100,18,20:56:17,1734.884375,847.124453125
3901,39,833,3.5,100,18,20:56:17,1960.61203125,1032.05484375
3900,75,833,3.5,100,18,20:56:17,2547.73578125,715.985546875
4473,36,834,3.5,0,18,20:56:18,2036.56234375,1382.90265625
3903,90,834,3.5,39.79984664916992,18,20:56:18,1862.92671875,1905.675625
3904,53,835,3.5,100,17,20:56:19,2143.2903125,1021.235859375
3905,93,836,3.5,100,17,20:56:20,2433.00421875,961.741484375
3906,55,837,3.5,100,17,20:56:21,1494.33375,1332.40890625
3909,85,838,3.5,49.115028381347656,17,20:56:22,1672.966875,1680.60609375
3907,2,838,3.5,38.13754653930664,17,20:56:22,2498.45078125,2462.88046875
3908,5,838,3.5,7.849998474121094,17,20:56:22,2035.98015625,1384.340625
3911,28,839,3.5,100,17,20:56:23,1979.29171875,1243.9390625
3912,31,839,3.5,82.19998168945312,17,20:56:23,2436.35890625,1097.494765625
3913,30,839,3.5,62.16250228881836,17,20:56:23,1518.944375,1425.41453125
3914,71,839,3.5,100,17,20:56:23,2077.960625,1489.0753125
3915,72,839,3.5,100,17,20:56:23,1646.27078125,1304.5271875
3916,36,839,3.5,0,17,20:56:23,2036.56234375,1382.90265625
3910,20,839,3.5,100,17,20:56:23,1412.5209375,1195.045859375
3917,73,840,3.5,0,17,20:56:24,1442.3059375,1489.69859375
3918,61,842,3.5,100,17,20:56:26,2338.715625,1331.75484375
3919,75,843,3.5,100,17,20:56:27,2547.73578125,715.985546875
3920,39,843,3.5,100,17,20:56:27,1959.3703125,1078.399296875
3921,89,843,3.5,100,17,20:56:27,1734.884375,847.124453125
3922,90,844,3.5,31.799854278564453,17,20:56:28,1909.7653125,1864.4446875
3923,53,845,3.5,100,17,20:56:29,2143.79859375,1024.133515625
3924,93,846,3.5,100,17,20:56:30,2436.74296875,970.444296875
3925,55,847,3.5,100,17,20:56:31,1541.93265625,1315.1128125
3926,2,848,3.5,34.44438934326172,17,20:56:32,2496.84859375,2460.7728125
3927,5,848,3.5,75,17,20:56:32,2035.98015625,1384.340625
3928,85,848,3.5,44.11503601074219,17,20:56:32,1666.6290625,1619.2675
3929,20,849,3.5,100,17,20:56:33,1448.774375,1194.389453125
3930,28,849,3.5,100,17,20:56:33,1976.62609375,1238.67390625
3931,31,849,3.5,82.19998168945312,17,20:56:33,2436.35890625,1097.494765625
3932,30,849,3.5,62.16250228881836,17,20:56:33,1553.03359375,1396.6728125
3933,71,849,3.5,100,17,20:56:33,2067.84328125,1434.678125
3934,72,849,3.5,100,17,20:56:33,1664.85140625,1292.4690625
3935,61,852,3.5,100,17,20:56:36,2353.306875,1302.55046875
3936,75,853,3.5,100,17,20:56:37,2547.73578125,715.985546875
3937,39,853,3.5,100,17,20:56:37,1961.75953125,1124.8584375
3938,89,853,3.5,100,17,20:56:37,1734.884375,847.124453125
3939,90,854,3.5,23.799861907958984,17,20:56:38,1924.0775,1842.6009375
3940,53,855,3.5,100,17,20:56:39,2138.425625,1024.194453125
3941,93,856,3.5,100,17,20:56:40,2417.0059375,970.12796875
3942,55,857,3.5,100,17,20:56:41,1541.8071875,1314.59515625
3943,2,858,3.5,73.63825225830078,17,20:56:42,2498.23359375,2440.15171875
3944,5,858,3.5,77,17,20:56:42,2035.98015625,1384.340625
3945,85,858,3.5,39.11504364013672,17,20:56:42,1678.5209375,1558.72875
3946,20,859,3.5,100,17,20:56:43,1504.6784375,1214.6321875
3947,28,859,3.5,100,17,20:56:43,1975.76453125,1241.973359375
3948,30,859,3.5,62.16250228881836,17,20:56:43,1580.3646875,1348.9921875
3949,31,859,3.5,82.19998168945312,17,20:56:43,2436.5859375,1097.4084375
3950,71,859,3.5,100,17,20:56:43,2060.33578125,1420.40734375
3951,72,859,3.5,100,17,20:56:43,1681.67140625,1277.259140625
3952,61,862,3.5,100,17,20:56:46,2379.7059375,1264.551171875
3955,89,863,3.5,100,17,20:56:47,1734.884375,847.124453125
3953,75,863,3.5,100,17,20:56:47,2547.73578125,715.985546875
3954,39,863,3.5,100,17,20:56:47,1940.15078125,1150.480703125
3956,90,864,3.5,68.99996948242188,17,20:56:48,1936.715,1816.44453125
3957,53,865,3.5,100,17,20:56:49,2128.4278125,1019.7765625
3958,93,866,3.5,100,17,20:56:50,2416.06671875,971.458359375
3959,55,867,3.5,100,17,20:56:51,1545.50109375,1318.0565625
3960,2,868,3.5,67.94866180419922,17,20:56:52,2507.1615625,2379.31953125
3961,5,868,3.5,81,17,20:56:52,2035.98015625,1384.340625
3962,85,868,3.5,37.11505126953125,17,20:56:52,1682.21453125,1497.7603125
3963,20,869,3.5,100,17,20:56:53,1552.458125,1247.9740625
3964,28,869,3.5,100,17,20:56:53,1979.7653125,1243.542109375
3965,30,869,3.5,64.16250610351562,17,20:56:53,1566.27046875,1328.9334375
